Time(s)	      V	      Theta      	Psi_V       X       Y       Z       Mass       Gamma       DeltaY       DeltaZ        Alpha       Beta       Gamma_V       nx2       ny2       nz2        mach       X       Y       Z       X0       Y0       Z0       X_delta       Y_delta        Z_delta       P       q       wx       DeltaY4       DeltaZ4       JX       YZ       S       L       mywx_beta  cy/cx 
0.130000       249.347798       0.000000       0.000000       32.457645       2.000000       0.000000       18.400000       0.000000       0.000000       7.800484       2.516479       0.000000       0.000000       -0.511579       1.000000       -0.000000       0.732768       92.247888       180.306496       0.000000       88.497261       164.185911       0.000000       3.750627       16.120585       0.000000       0.000000       38074.725680       0.000000       0.000000       7.800484       0.024000       1.570000       0.011400       1.027000       0.000000       1.954587       
0.140000       249.297674       0.000000       0.000000       34.950872       2.000000       0.000000       18.400000       0.000000       0.000000       7.807666       2.517700       0.000000       0.000000       -0.511418       1.000000       -0.000000       0.732620       92.218841       180.337295       0.000000       88.463954       164.207037       0.000000       3.754887       16.130257       0.000000       0.000000       38059.419505       0.000000       0.000000       7.807666       0.024000       1.570000       0.011400       1.027000       0.000000       1.955536       
0.150000       249.247565       0.000000       0.000000       37.443598       2.000000       0.000000       18.400000       0.000000       0.000000       7.814851       2.518921       0.000000       0.000000       -0.511257       1.000000       -0.000000       0.732473       92.189809       180.368056       0.000000       88.430666       164.228126       0.000000       3.759143       16.139930       0.000000       0.000000       38044.121225       0.000000       0.000000       7.814851       0.024000       1.570000       0.011400       1.027000       0.000000       1.956486       
0.160000       249.197474       0.000000       0.000000       39.935823       2.000000       0.000000       18.400000       0.000000       0.000000       7.816552       2.518921       0.000000       0.000000       -0.511021       1.000000       -0.000000       0.732326       92.147336       180.298129       0.000000       88.388578       164.161153       0.000000       3.758758       16.136976       0.000000       0.000000       38028.831207       0.000000       0.000000       7.816552       0.024000       1.570000       0.011400       1.027000       0.000000       1.956629       
0.170000       249.147399       0.000000       0.000000       42.427548       2.000000       0.000000       18.400000       0.000000       0.000000       7.823743       2.520142       0.000000       0.000000       -0.510860       1.000000       -0.000000       0.732179       92.118341       180.328854       0.000000       88.355331       164.182207       0.000000       3.763010       16.146648       0.000000       0.000000       38013.549443       0.000000       0.000000       7.823743       0.024000       1.570000       0.011400       1.027000       0.000000       1.957578       
0.180000       249.097345       0.000000       0.000000       44.918771       2.000000       0.000000       18.400000       0.000000       0.000000       7.830937       2.521362       0.000000       0.000000       -0.510700       1.000000       -0.000000       0.732031       92.089365       180.359550       0.000000       88.322106       164.203230       0.000000       3.767259       16.156320       0.000000       0.000000       37998.277044       0.000000       0.000000       7.830937       0.024000       1.570000       0.011400       1.027000       0.000000       1.958527       
0.190000       249.047308       0.000000       0.000000       47.409495       2.000000       0.000000       18.400000       0.000000       0.000000       7.832641       2.521362       0.000000       0.000000       -0.510465       1.000000       -0.000000       0.731884       92.046962       180.289662       0.000000       88.280093       164.136300       0.000000       3.766870       16.153362       0.000000       0.000000       37983.012887       0.000000       0.000000       7.832641       0.024000       1.570000       0.011400       1.027000       0.000000       1.958670       
0.200000       248.997288       0.000000       0.000000       49.899718       2.000000       0.000000       18.400000       0.000000       0.000000       7.839840       2.522583       0.000000       0.000000       -0.510304       1.000000       -0.000000       0.731737       92.018023       180.320321       0.000000       88.246909       164.157288       0.000000       3.771114       16.163033       0.000000       0.000000       37967.756966       0.000000       0.000000       7.839840       0.024000       1.570000       0.011400       1.027000       0.000000       1.959620       
0.210000       248.947288       0.000000       0.000000       52.389440       2.000000       0.000000       18.400000       0.000000       0.000000       7.847042       2.523804       0.000000       0.000000       -0.510144       1.000000       -0.000000       0.731591       91.989102       180.350949       0.000000       88.213747       164.178246       0.000000       3.775355       16.172704       0.000000       0.000000       37952.510388       0.000000       0.000000       7.847042       0.024000       1.570000       0.011400       1.027000       0.000000       1.960569       
0.220000       248.897306       0.000000       0.000000       54.878663       2.000000       0.000000       18.400000       0.000000       0.000000       7.848749       2.523804       0.000000       0.000000       -0.509909       1.000000       -0.000000       0.731444       91.946770       180.281101       0.000000       88.171809       164.111358       0.000000       3.774961       16.169743       0.000000       0.000000       37937.272032       0.000000       0.000000       7.848749       0.024000       1.570000       0.011400       1.027000       0.000000       1.960712       
