TIME(s)       V       a11       a12       a13       a14       a15       a16       a21       a22       a23       a24       a24_       a25       a25_       a26       a31       a32       a33       a34       a35       a36       b11       b12       b13       b14       b15       b16       b17       b18       b21       b22       b23       b24       b24_       b25       b25_       b26       b27       b28       b31       b32       b33       b34       b35       b36       b37       b38       q       ny2       nz2       
0.100000       249.498285       -2.554105       0.000000       -9.800000       -22.177697       -2.726948       0.054348       1.953566       -1.656232       0.000000       -366.499695       0.000000       121.143984       0.000000       0.636943       0.000582       0.000000       0.000000       0.902217       0.021739       0.000218       -4.385816       0.000000       0.000000       0.000000       0.000000       0.000000       231.309661       41.666667       0.000000       -1.599716       0.000000       -311.582661       0.000000       95.801663       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000963       0.000000       0.825122       0.054226       -0.039241       0.000000       -0.000218       38120.697227       1.000000       -0.000000
0.110000       249.448105       -2.553561       0.000000       -9.800000       -22.166810       -2.725288       0.054348       1.954654       -1.655780       0.000000       -366.352289       0.000000       121.060727       0.000000       0.636943       0.000583       0.000000       0.000000       0.902028       0.021739       0.000218       -4.384934       0.000000       0.000000       0.000000       0.000000       0.000000       231.178851       41.666667       0.000000       -1.599207       0.000000       -311.462312       0.000000       95.751540       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000964       0.000000       0.824958       0.054213       -0.039249       0.000000       -0.000218       38105.365093       1.000000       -0.000000
0.120000       249.397943       -2.552614       0.000000       -9.800000       -22.156669       -2.723793       0.054348       1.954686       -1.655348       0.000000       -366.204963       0.000000       120.994086       0.000000       0.636943       0.000583       0.000000       0.000000       0.901838       0.021736       0.000218       -4.384052       0.000000       0.000000       0.000000       0.000000       0.000000       231.004984       41.666667       0.000000       -1.598774       0.000000       -311.337059       0.000000       95.703437       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000964       0.000000       0.824785       0.054198       -0.039257       0.000000       -0.000218       38090.041246       1.000000       -0.000000
0.130000       249.347798       -2.552070       0.000000       -9.800000       -22.145794       -2.722134       0.054348       1.955774       -1.654896       0.000000       -366.057716       0.000000       120.910952       0.000000       0.636943       0.000585       0.000000       0.000000       0.901649       0.021736       0.000218       -4.383171       0.000000       0.000000       0.000000       0.000000       0.000000       230.873833       41.666667       0.000000       -1.598266       0.000000       -311.216840       0.000000       95.653379       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000965       0.000000       0.824622       0.054185       -0.039265       0.000000       -0.000218       38074.725680       1.000000       -0.000000
0.140000       249.297674       -2.551527       0.000000       -9.800000       -22.134926       -2.720477       0.054348       1.956862       -1.654444       0.000000       -365.910560       0.000000       120.827888       0.000000       0.636943       0.000586       0.000000       0.000000       0.901460       0.021737       0.000218       -4.382289       0.000000       0.000000       0.000000       0.000000       0.000000       230.742421       41.666667       0.000000       -1.597758       0.000000       -311.096693       0.000000       95.603359       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000966       0.000000       0.824459       0.054171       -0.039272       0.000000       -0.000218       38059.419505       1.000000       -0.000000
0.150000       249.247565       -2.550984       0.000000       -9.800000       -22.124064       -2.718821       0.054348       1.957950       -1.653993       0.000000       -365.763479       0.000000       120.744889       0.000000       0.636943       0.000588       0.000000       0.000000       0.901270       0.021737       0.000218       -4.381409       0.000000       0.000000       0.000000       0.000000       0.000000       230.610731       41.666667       0.000000       -1.597251       0.000000       -310.976606       0.000000       95.553370       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000967       0.000000       0.824296       0.054157       -0.039280       0.000000       -0.000218       38044.121225       1.000000       -0.000000
0.160000       249.197474       -2.550039       0.000000       -9.800000       -22.113949       -2.717331       0.054348       1.957982       -1.653562       0.000000       -365.616478       0.000000       120.678467       0.000000       0.636943       0.000587       0.000000       0.000000       0.901081       0.021734       0.000218       -4.380528       0.000000       0.000000       0.000000       0.000000       0.000000       230.436818       41.666667       0.000000       -1.596818       0.000000       -310.851624       0.000000       95.505399       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000967       0.000000       0.824123       0.054143       -0.039288       0.000000       -0.000218       38028.831207       1.000000       -0.000000
0.170000       249.147399       -2.549497       0.000000       -9.800000       -22.103099       -2.715677       0.054348       1.959070       -1.653110       0.000000       -365.469556       0.000000       120.595590       0.000000       0.636943       0.000589       0.000000       0.000000       0.900892       0.021734       0.000218       -4.379648       0.000000       0.000000       0.000000       0.000000       0.000000       230.304790       41.666667       0.000000       -1.596311       0.000000       -310.731667       0.000000       95.455477       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000968       0.000000       0.823960       0.054129       -0.039296       0.000000       -0.000218       38013.549443       1.000000       -0.000000
0.180000       249.097345       -2.548955       0.000000       -9.800000       -22.092256       -2.714024       0.054348       1.960157       -1.652659       0.000000       -365.322724       0.000000       120.512783       0.000000       0.636943       0.000590       0.000000       0.000000       0.900703       0.021735       0.000218       -4.378768       0.000000       0.000000       0.000000       0.000000       0.000000       230.172502       41.666667       0.000000       -1.595804       0.000000       -310.611782       0.000000       95.405591       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000969       0.000000       0.823797       0.054116       -0.039304       0.000000       -0.000218       37998.277044       1.000000       -0.000000
0.190000       249.047308       -2.548011       0.000000       -9.800000       -22.082160       -2.712537       0.054348       1.960190       -1.652229       0.000000       -365.175972       0.000000       120.446524       0.000000       0.636943       0.000590       0.000000       0.000000       0.900514       0.021731       0.000218       -4.377888       0.000000       0.000000       0.000000       0.000000       0.000000       229.998616       41.666667       0.000000       -1.595372       0.000000       -310.487007       0.000000       95.357719       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000969       0.000000       0.823624       0.054101       -0.039312       0.000000       -0.000218       37983.012887       1.000000       -0.000000
0.200000       248.997288       -2.547470       0.000000       -9.800000       -22.071330       -2.710887       0.054348       1.961277       -1.651778       0.000000       -365.029298       0.000000       120.363839       0.000000       0.636943       0.000591       0.000000       0.000000       0.900326       0.021732       0.000218       -4.377009       0.000000       0.000000       0.000000       0.000000       0.000000       229.865992       41.666667       0.000000       -1.594865       0.000000       -310.367251       0.000000       95.307899       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000970       0.000000       0.823461       0.054088       -0.039320       0.000000       -0.000218       37967.756966       1.000000       -0.000000
0.210000       248.947288       -2.546929       0.000000       -9.800000       -22.060506       -2.709238       0.054348       1.962365       -1.651328       0.000000       -364.882715       0.000000       120.281224       0.000000       0.636943       0.000593       0.000000       0.000000       0.900137       0.021732       0.000218       -4.376130       0.000000       0.000000       0.000000       0.000000       0.000000       229.733110       41.666667       0.000000       -1.594358       0.000000       -310.247567       0.000000       95.258116       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000971       0.000000       0.823298       0.054074       -0.039328       0.000000       -0.000218       37952.510388       1.000000       -0.000000
0.220000       248.897306       -2.545987       0.000000       -9.800000       -22.050430       -2.707755       0.054348       1.962397       -1.650898       0.000000       -364.736210       0.000000       120.215129       0.000000       0.636943       0.000592       0.000000       0.000000       0.899948       0.021729       0.000218       -4.375252       0.000000       0.000000       0.000000       0.000000       0.000000       229.559251       41.666667       0.000000       -1.593927       0.000000       -310.123000       0.000000       95.210344       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000971       0.000000       0.823126       0.054059       -0.039335       0.000000       -0.000218       37937.272032       1.000000       -0.000000
0.230000       248.847340       -2.545447       0.000000       -9.800000       -22.039619       -2.706108       0.054348       1.963485       -1.650448       0.000000       -364.589785       0.000000       120.132636       0.000000       0.636943       0.000594       0.000000       0.000000       0.899760       0.021729       0.000218       -4.374373       0.000000       0.000000       0.000000       0.000000       0.000000       229.426035       41.666667       0.000000       -1.593421       0.000000       -310.003444       0.000000       95.160626       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000972       0.000000       0.822963       0.054046       -0.039343       0.000000       -0.000218       37922.041893       1.000000       -0.000000
0.240000       248.797395       -2.544907       0.000000       -9.800000       -22.028814       -2.704462       0.054348       1.964572       -1.649998       0.000000       -364.443449       0.000000       120.050212       0.000000       0.636943       0.000596       0.000000       0.000000       0.899571       0.021729       0.000218       -4.373495       0.000000       0.000000       0.000000       0.000000       0.000000       229.292563       41.666667       0.000000       -1.592915       0.000000       -309.883961       0.000000       95.110944       0.000000       0.000000       0.000000       0.636943       0.000000       -1.000973       0.000000       0.822801       0.054032       -0.039351       0.000000       -0.000218       37906.821075       1.000000       -0.000000
